시군,2024,2024,2024
시군,면적(계),논,밭
소계,99531,29896,69635
춘천시,5696,1174,4522
원주시,7495,3156,4339
강릉시,6839,2333,4507
동해시,762,112,650
태백시,1171,0,1171
속초시,541,249,292
삼척시,4037,590,3447
홍천군,10762,2365,8397
횡성군,9377,2360,7017
영월군,5690,335,5355
평창군,9639,263,9376
정선군,7616,208,7408
철원군,12196,9809,2387
화천군,2749,518,2231
양구군,4648,1268,3379
인제군,3510,633,2878
고성군,3928,2933,996
양양군,2874,1590,1283
